Specimen_Number,Preservation,Order,Family,Genus,Species,Sex,thorax_length,thorax_width,thorax_depth,left_forewing_length,left_forewing_width,left_hindwing_length,left_hindwing_width,right_forewing_length,right_forewing_width,right_hindwing_length,right_hindwing_width
989444,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,f,11.8,8,8.8,45.1,10.7,44.7,13.5,44.6,10.7,44.5,12.5
989447,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,f,11.7,8,9.4,45.1,9.6,45,13.6,44.9,10,45.6,13.4
989441,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,f,12,7.9,11.1,44.8,10.6,44.5,13.3,45.1,10.7,44.4,13.5
989433,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,m,12.5,8,10.1,44.8,10.5,43.3,13.1,45,10.7,43.8,13.2
989435,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,m,11.8,7.7,10.7,44.6,10.8,43.9,13,44.6,11.1,43.8,13
989440,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,m,11.8,8.7,9,44.2,10.1,42.3,12.9,44.1,10,43.3,13.2
989436,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,m,11.8,8.1,9.5,43.6,10.6,43.2,13.3,43.6,10.6,43.2,13.3
989443,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,f,11.8,7.7,8.6,43.3,10.4,42.3,13.2,43.2,10.4,43,12.3
989439,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,m,12,7,9.4,43.1,9.7,42.7,12.9,42.8,10.1,41.9,12.6
989434,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,m,12.3,7.8,9.8,42.5,10.6,42.5,12.9,42.5,10.5,42.3,13.2
989539,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,f,12.2,8.3,11,48.3,12.6,46.3,15.5,48.6,12.3,46.7,15.4
989537,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,f,11.7,8,10.8,48.2,12.5,46.6,15.7,47.9,12.3,46,16
989529,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,m,12.1,8,9.9,47.9,11.3,47.3,14.4,47.8,11.5,47.5,14.2
989542,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,f,12.3,8.2,10.1,47.8,12.3,46,15.2,47.3,12,46.3,15
989531,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,m,11.2,9.2,10.8,47.6,11.8,46,13.4,47.5,11.1,45.8,14.1
989530,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,m,12.7,8.1,10.1,47.6,11.4,46.6,14.1,47,11.7,46.4,14.3
989543,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,f,12,8.8,8.4,47.5,11.5,46.8,14.4,47.2,11.5,46,14.3
989533,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,m,11.6,8.2,9.1,47.5,11.5,46.8,14,47.4,11.1,46.6,14
989534,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,m,12,8.7,12.8,47.2,11.1,46.7,13.8,47.8,11.1,46.8,14
989541,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,f,11.6,8.4,9.7,47,11.6,46.2,14.4,47.7,11.1,46.5,14.3
989535,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,m,13,8,10.2,46.8,11.3,45.4,13.8,46.7,11.5,46.7,14
989532,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,m,12,8.3,9.2,46.7,11.2,46.1,13.9,46.4,11.2,46.2,13.9
989544,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,f,11.9,7.9,10,46,11.2,42.8,15.1,45.9,11.4,42,14.9
989538,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,f,11.9,8.1,10.3,45.5,11.8,53.5,14.3,45.9,11.7,45,14.8
989540,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,f,12.3,7.9,10,44.1,11.7,41.2,13.9,44.1,12.7,41.1,14.5
989536,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna juncea,m,12.3,8.2,8.6,42.8,11.1,41.3,13.7,43.8,11.2,41,13.1
989402,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,m,11.8,8,10.3,48.1,11.3,46.7,14.1,48,11.7,46.5,14.2
989401,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,m,11.9,7.9,10.4,47.2,11.3,47.6,14.1,47,11.4,46.3,14.3
989406,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,m,12,7.9,9.6,46.6,11.2,45.8,14.2,47,11.5,46.1,14.3
